Copyright © 1991-2013 Unicode, Inc.
CLDR data files are interpreted according to the LDML specification (http://unicode.org/reports/tr35/)
For terms of use, see http://www.unicode.org/copyright.html

"AUS Central Standard Time","001","Australia/Darwin"
"AUS Central Standard Time","AU","Australia/Darwin"
"AUS Eastern Standard Time","001","Australia/Sydney"
"AUS Eastern Standard Time","AU","Australia/Sydney Australia/Melbourne"
"Afghanistan Standard Time","001","Asia/Kabul"
"Afghanistan Standard Time","AF","Asia/Kabul"
"Alaskan Standard Time","001","America/Anchorage"
"Alaskan Standard Time","US","America/Anchorage America/Juneau America/Nome America/Sitka America/Yakutat"
"Arab Standard Time","001","Asia/Riyadh"
"Arab Standard Time","BH","Asia/Bahrain"
"Arab Standard Time","KW","Asia/Kuwait"
"Arab Standard Time","QA","Asia/Qatar"
"Arab Standard Time","SA","Asia/Riyadh"
"Arab Standard Time","YE","Asia/Aden"
"Arabian Standard Time","001","Asia/Dubai"
"Arabian Standard Time","AE","Asia/Dubai"
"Arabian Standard Time","OM","Asia/Muscat"
"Arabian Standard Time","ZZ","Etc/GMT-4"
"Arabic Standard Time","001","Asia/Baghdad"
"Arabic Standard Time","IQ","Asia/Baghdad"
"Argentina Standard Time","001","America/Buenos_Aires"
"Argentina Standard Time","AR","America/Buenos_Aires America/Argentina/La_Rioja America/Argentina/Rio_Gallegos America/Argentina/Salta America/Argentina/San_Juan America/Argentina/San_Luis America/Argentina/Tucuman America/Argentina/Ushuaia America/Catamarca America/Cordoba America/Jujuy America/Mendoza"
"Atlantic Standard Time","001","America/Halifax"
"Atlantic Standard Time","BM","Atlantic/Bermuda"
"Atlantic Standard Time","CA","America/Halifax America/Glace_Bay America/Goose_Bay America/Moncton"
"Atlantic Standard Time","GL","America/Thule"
"Azerbaijan Standard Time","001","Asia/Baku"
"Azerbaijan Standard Time","AZ","Asia/Baku"
"Azores Standard Time","001","Atlantic/Azores"
"Azores Standard Time","GL","America/Scoresbysund"
"Azores Standard Time","PT","Atlantic/Azores"
"Bahia Standard Time","001","America/Bahia"
"Bahia Standard Time","BR","America/Bahia"
"Bangladesh Standard Time","001","Asia/Dhaka"
"Bangladesh Standard Time","BD","Asia/Dhaka"
"Bangladesh Standard Time","BT","Asia/Thimphu"
"Belarus Standard Time","001","Europe/Minsk"
"Belarus Standard Time","BY","Europe/Minsk"
"Canada Central Standard Time","001","America/Regina"
"Canada Central Standard Time","CA","America/Regina America/Swift_Current"
"Cape Verde Standard Time","001","Atlantic/Cape_Verde"
"Cape Verde Standard Time","CV","Atlantic/Cape_Verde"
"Cape Verde Standard Time","ZZ","Etc/GMT+1"
"Caucasus Standard Time","001","Asia/Yerevan"
"Caucasus Standard Time","AM","Asia/Yerevan"
"Cen. Australia Standard Time","001","Australia/Adelaide"
"Cen. Australia Standard Time","AU","Australia/Adelaide Australia/Broken_Hill"
"Central America Standard Time","001","America/Guatemala"
"Central America Standard Time","BZ","America/Belize"
"Central America Standard Time","CR","America/Costa_Rica"
"Central America Standard Time","EC","Pacific/Galapagos"
"Central America Standard Time","GT","America/Guatemala"
"Central America Standard Time","HN","America/Tegucigalpa"
"Central America Standard Time","NI","America/Managua"
"Central America Standard Time","SV","America/El_Salvador"
"Central America Standard Time","ZZ","Etc/GMT+6"
"Central Asia Standard Time","001","Asia/Almaty"
"Central Asia Standard Time","AQ","Antarctica/Vostok"
"Central Asia Standard Time","CN","Asia/Urumqi"
"Central Asia Standard Time","IO","Indian/Chagos"
"Central Asia Standard Time","KG","Asia/Bishkek"
"Central Asia Standard Time","KZ","Asia/Almaty Asia/Qyzylorda"
"Central Asia Standard Time","ZZ","Etc/GMT-6"
"Central Brazilian Standard Time","001","America/Cuiaba"
"Central Brazilian Standard Time","BR","America/Cuiaba America/Campo_Grande"
"Central Europe Standard Time","001","Europe/Budapest"
"Central Europe Standard Time","AL","Europe/Tirane"
"Central Europe Standard Time","CZ","Europe/Prague"
"Central Europe Standard Time","HU","Europe/Budapest"
"Central Europe Standard Time","ME","Europe/Podgorica"
"Central Europe Standard Time","RS","Europe/Belgrade"
"Central Europe Standard Time","SI","Europe/Ljubljana"
"Central Europe Standard Time","SK","Europe/Bratislava"
"Central European Standard Time","001","Europe/Warsaw"
"Central European Standard Time","BA","Europe/Sarajevo"
"Central European Standard Time","HR","Europe/Zagreb"
"Central European Standard Time","MK","Europe/Skopje"
